q	phi	n_nr	rank_minus1	is_max	V_minus1	argmax_m	V_argmax	margin
5651	5650	2825	1	1	78173.138976	2825	78173.138976	3895.493033
5659	5658	2829	1	1	78298.545672	2829	78298.545672	3689.933799
5683	5682	2841	1	1	78683.669037	2841	78683.669037	3707.156084
5711	5710	2855	1	1	79104.437133	2855	79104.437133	6120.736362
5743	5742	2871	1	1	79629.885596	2871	79629.885596	3753.095693
5779	5778	2889	1	1	80191.031802	2889	80191.031802	3754.335576
5783	5782	2891	1	1	80269.424044	2891	80269.424044	4297.105296
5791	5790	2895	1	1	80385.204074	2895	80385.204074	3779.797410
5807	5806	2903	1	1	80635.409774	2903	80635.409774	4314.946409
5827	5826	2913	1	1	80964.826349	2913	80964.826349	3799.077064
5839	5838	2919	1	1	81163.662565	2919	81163.662565	3818.560196
5843	5842	2921	1	1	81220.844488	2921	81220.844488	4060.516192
5851	5850	2925	1	1	81357.797769	2925	81357.797769	3848.359421
5867	5866	2933	1	1	81596.877278	2933	81596.877278	4049.039197
5879	5878	2939	1	1	81790.673152	2939	81790.673152	5513.129161
5903	5902	2951	1	1	82150.772535	2951	82150.772535	4382.143034
5923	5922	2961	1	1	82495.339787	2961	82495.339787	3866.795494
5927	5926	2963	1	1	82548.815130	2963	82548.815130	4354.483898
5939	5938	2969	1	1	82738.528924	2969	82738.528924	4107.356488
5987	5986	2993	1	1	83513.554719	2993	83513.554719	4152.217959
6007	6006	3003	1	1	83816.066044	3003	83816.066044	3929.419503
6011	6010	3005	1	1	83893.884559	3005	83893.884559	4166.001492
6043	6042	3021	1	1	84401.292072	3021	84401.292072	3941.106479
6047	6046	3023	1	1	84467.949311	3023	84467.949311	4487.251074
6067	6066	3033	1	1	84776.677919	3033	84776.677919	3959.727533
6079	6078	3039	1	1	84990.384900	3039	84990.384900	3992.254050
6091	6090	3045	1	1	85173.491604	3045	85173.491604	3978.264770
6131	6130	3065	1	1	85781.997092	3065	85781.997092	4226.977811
6143	6142	3071	1	1	86021.579358	3071	86021.579358	4561.516599
6151	6150	3075	1	1	86154.039517	3075	86154.039517	4040.482315
6163	6162	3081	1	1	86314.445235	3081	86314.445235	4020.025087
6199	6198	3099	1	1	86890.506213	3099	86890.506213	4013.089190
6203	6202	3101	1	1	86970.388629	3101	86970.388629	4300.875652
6211	6210	3105	1	1	87104.659607	3105	87104.659607	4077.220259
6247	6246	3123	1	1	87648.555291	3123	87648.555291	4068.638580
6263	6262	3131	1	1	87893.794006	3131	87893.794006	4638.550889
6271	6270	3135	1	1	88073.093185	3135	88073.093185	4116.333232
6287	6286	3143	1	1	88320.177679	3143	88320.177679	4670.214097
6299	6298	3149	1	1	88505.387813	3149	88505.387813	4342.611160
6311	6310	3155	1	1	88708.498033	3155	88708.498033	5248.948145
6323	6322	3161	1	1	88866.458888	3161	88866.458888	4375.999846
6343	6342	3171	1	1	89202.117924	3171	89202.117924	4118.288452
6359	6358	3179	1	1	89473.433683	3179	89473.433683	6043.011131
6367	6366	3183	1	1	89588.913347	3183	89588.913347	4163.738403
6379	6378	3189	1	1	89818.350332	3189	89818.350332	4166.829980
