q	x	minus_one_rank	minus_one_tie_size	leaders	D_minus_one
11	104547647	3	1	7	186
11	109473114	2	1	7	143
11	114630631	3	1	7	48
11	120031129	5	1	7	56
11	125686057	3	1	7	-87
11	137807713	3	1	6	-30
11	144300134	5	1	2	-179
11	151098428	5	1	6	-93
11	158217004	5	1	8	77
11	165670951	4	1	8	69
11	173476071	5	1	8	155
11	239437434	4	1	8	-130
11	250717853	1	1	10	117
11	274898064	3	1	6	-23
11	287849111	3	1	2	-147
11	301410309	5	1	2	-227
11	330479499	5	1	8	-256
11	379423438	3	1	8	-57
11	397298903	5	1	8	-104
11	416016520	4	2	8	-111
11	435615964	3	1	7	-68
11	456138781	5	1	8	-320
11	477628472	4	1	8	-222
11	500130590	2	1	8	-161
11	548365141	1	1	10	385
11	659238680	2	1	6	420
11	690296850	1	1	10	879
11	722818239	2	1	6	1012
11	756871780	1	1	10	1137
11	1000000000	2	1	6	825
11	1044659568	3	1	8	756
11	1093875756	1	1	10	1208
11	1145410625	2	1	6	587
11	1199373415	4	1	6	563
11	1255878508	5	1	8	705
11	1315045680	4	1	7	552
11	1377000346	5	1	6	297
11	1441873832	5	1	2	890
11	1509803648	5	1	6	946
11	1580933787	1	1	10	1347
11	1990122151	4	1	2	1233
11	2083881140	4	1	6	523
11	2182057319	3	1	2	795
11	2284858792	2	1	2	998
11	2392503466	1	1	10	970
11	2623245863	4	1	2	777
11	2746832689	1	1	10	726
11	3457787179	2	1	2	1643
11	3620691064	3	1	2	336
11	3791269706	2	1	2	151
11	4352755893	5	1	2	-351
11	4557823704	4	1	2	-345
11	4772552705	2	1	7	-187
11	4997398058	3	1	7	395
11	5232836365	1	1	10	1211
11	5737511582	2	1	7	824
11	6007818249	4	1	7	804
11	6290859651	4	1	8	371
11	6587235751	3	1	7	494
11	6897574775	1	1	10	556
11	7222534545	2	1	7	-110
11	7562803878	1	1	10	1216
11	7919104041	2	1	8	1199
11	8292190280	1	1	10	609
11	8682853425	3	1	8	1395
11	9091921561	2	1	8	1249
11	9520261788	2	1	2	1535
11	9968782056	3	1	2	1534
11	10000000000	4	1	8	1396
11	10438433091	4	1	2	645
11	11445156427	4	1	8	1094
11	11984362674	4	1	7	1365
11	13000000000	5	1	7	1148
11	15086239424	4	1	7	-473
