q	x	a	E_observed	E_K1	E_K3	E_K10	E_K25
11	16502471554108	2	1.73804647834	2.06999454188	3.30002132621	2.56901159129	1.83891981919
11	17279938931625	2	3.58896440132	2.24810993169	4.00040617296	3.05026469696	2.27311323786
11	18094034490631	2	3.70363181872	2.42262650568	4.46528732602	3.54892898436	3.34852141288
11	18946483864533	2	6.58019379046	2.59690689165	4.67624850214	3.91630455736	4.98434300205
11	19839093985085	2	3.1393336542	2.77341572508	4.64926565041	4.12712980114	5.07977342889
11	20773756912534	2	5.03087575382	2.9536070226	4.43088146566	4.28737174356	3.18970496394
11	21752453846202	2	3.66840448759	3.13787735176	4.08984575958	4.51269092454	3.46639322643
11	22777259324031	2	5.11455981737	3.32558284788	3.70570523785	4.79076947473	5.39115316164
11	23850345619961	2	6.45551633053	3.51511492409	3.35628279331	4.94326034007	5.49197464547
11	24973987348488	2	4.95239949487	3.7040267748	3.10610254235	4.72548592598	5.03368584602
11	26150566286152	2	4.51579364889	3.88920060921	2.99758045792	4.00773504907	4.03700555458
11	27382576420175	2	2.85081703317	4.06704405029	3.04626229758	2.92446587015	1.78382024438
11	28672629234945	2	3.41362887506	4.23370334224	3.24065373659	1.88251676126	1.67240830637
11	30023459247572	2	2.13251936377	4.38528092633	3.54638797683	1.38991068022	2.80413617702
11	31437929804219	2	2.2969409973	4.51804553704	3.91375657634	1.77899571183	1.74459042354
11	32919039149526	2	0.291368062557	4.62862416473	4.28711373406	2.98912582025	1.91743280064
11	34469926781966	2	4.66172194317	4.71416692909	4.61443550747	4.56698741428	4.86591369809
11	36093880108624	2	8.12210702769	4.77247798422	4.85540112157	5.91055515425	6.448063083
11	37794341413493	2	4.98408827036	4.80210789513	4.98673302743	6.60325067902	6.44301050673
11	39574915154062	2	5.8096789184	4.80240534162	5.00410451518	6.60332607416	6.28166234674
11	41439375601662	2	5.80905904908	4.77352837781	4.92058374212	6.15896207932	5.75435735924
11	43391674841769	2	5.85677191238	4.7164176718	4.76220543679	5.54301637725	6.07037799693
11	45435951151211	2	5.66648306544	4.63273605584	4.56173388577	4.85141100405	5.83411124523
11	47576537770051	2	2.8523840675	4.52478024129	4.35192447193	4.04031626113	3.29411776669
11	49817972086731	2	2.57353490868	4.39537162979	4.15957453358	3.14037137002	2.05025367816
11	52165005255944	2	2.68053977857	4.24773374772	4.00139713796	2.40178724259	2.87780937283
11	54622612269628	2	3.077287409	4.08536394062	3.88231780023	2.18054941962	2.77094488256
11	57196002502427	2	3.70422384124	3.91190661092	3.79627875262	2.63589079853	2.95440769407
11	59890630753972	2	3.28061324229	3.73103451859	3.72914299593	3.52527863352	3.72902247848
11	62712208811383	2	3.62599286036	3.54634356018	3.6629153591	4.32841074008	3.26735111367
11	65666717556514	2	3.76773642246	3.3612650885	3.5803058664	4.63240515255	3.83132696173
11	68760419643587	2	5.57984887921	3.17899833087	3.46867746046	4.44356320948	5.47282451791
11	71999872774107	2	5.01673403531	3.00246391332	3.32262800538	4.12806984221	5.02720648964
11	75391943597177	2	3.83524733253	2.834278001	3.14480056753	4.01724047277	3.97666144959
11	78943822264697	2	3.803869008	2.67674521573	2.94491695965	4.04030776305	3.50711002521
11	82663037672284	2	3.72036828176	2.53186736652	2.73740117912	3.74903985954	2.468374552
11	86557473418223	2	2.45958693888	2.40136419055	2.53822647553	2.74872697971	2.69279630445
11	90635384514286	2	3.85090164721	2.28670178779	2.36173316419	1.16188595338	3.10563208632
11	94905414883828	2	0.109912225197	2.18912426064	2.21810974748	-0.310005562111	0.327789536093
11	99376615684263	2	-3.03732341963	2.10968423213	2.11202945902	-0.824581210485	-2.21126796779
11	100000000000000	2	-1.8879125436	2.10034312689	2.10052823446	-0.790798191014	-2.26190942125
11	104058464492742	2	-0.347916785248	2.04926838673	2.04263997949	0.00106579993955	-1.07824390984
11	108960885395717	2	1.79525555638	2.00861490772	2.00478530107	1.8062255195	1.74327048025
11	114094270024970	2	4.86725600051	1.98832061421	1.99106698167	3.72406341613	5.01619610196
11	119469499584686	2	7.88160075399	1.98883665506	1.99418523588	4.91881196753	6.37995848796
11	125097967916282	2	2.04725876505	2.01045271906	2.00897079701	5.00300341642	3.80806915726
11	130991605649859	2	2.53607022279	2.0532707918	2.03362688645	4.09243750977	2.08839877078
11	137162905493486	2	3.29784030828	2.11717045571	2.06991675981	2.5968420315	3.38573648625
11	143624948713920	2	-0.0659887385127	2.20176852747	2.12230272847	1.00976462095	2.61791392625
