x,split,A_minus_1_binary64,A_minus_1_decimal80,binary_decimal_sign_agree,mertens_x
850000,discovery,-83.969092263958132,-83.969092263958132037274379253625967449941472462286211696419926034673073246388641,True,-136
860000,discovery,-61.113738645733214,-61.113738645733215660802286117165680030600094803019255360197563558030906258872923,True,-99
870000,discovery,-133.42537456839395,-133.42537456839395079238958996931963950508593349865438834356072989887180362507200,True,-140
880000,discovery,-132.34397452629599,-132.34397452629599888791248327097697076884818034677420014704584655140091053908103,True,-144
890000,discovery,-139.95602170293853,-139.95602170293853264132251397857996356838200228267588262940973735633681726772926,True,-135
900000,discovery,-154.99470422561839,-154.99470422561839788230458004083127160076528848738183062689536571437817874661182,True,-225
910000,discovery,-212.82331796571179,-212.82331796571180387507338726984343975401769969093483130950730547308579386648713,True,-266
920000,discovery,-134.23475879671182,-134.23475879671182923434610109443052250925987180107480660314166956622703524750609,True,-221
930000,discovery,-165.61619789282267,-165.61619789282267800521418148510491549537575557127802556621476976473249695434041,True,-259
940000,discovery,-138.27989077535145,-138.27989077535146730880139860279363077649145081400861732143183259563834364954134,True,-209
950000,discovery,-83.667610162711966,-83.667610162711975223374223605336953345529490320693585049932731616917620610901068,True,-127
960000,discovery,-15.728535263615489,-15.728535263615498659457976062429956995659198071350025690403064711406867903168022,True,-36
970000,discovery,7.9082235757438202,7.9082235757438152650159080564839649521694273231002863314983825718946878838208001,True,28
980000,discovery,56.804056155538809,56.804056155538809586935585079944865718241022802503273502331960885817148826919326,True,105
990000,discovery,142.90568068238039,142.90568068238037813488735969799765035870285557188625044796821762954435073173250,True,211
1000000,discovery,137.62967851291921,137.62967851291921051412649614619207020815174078392973147254129896623831449923176,True,212
1010000,holdout,45.018748898034168,45.018748898034159195761560455775285598872195816694264367800645317151286163586360,True,143
1020000,holdout,9.734592630342453,9.734592630342446001994592411576623411056593521378117685600887787563733701164391,True,97
1030000,holdout,-29.942392875293869,-29.942392875293876233996972930124092350629745488188363475232476271387745219667395,True,50
1040000,holdout,105.23217523995072,105.23217523995071155600522099915944341581037553834348985046011202008774933542967,True,257
1050000,holdout,113.92785120560823,113.92785120560823452644354822496661921888057606865813525444950200714084598203272,True,272
1060000,holdout,197.84644869411687,197.84644869411686522953343912336839541675514962170619145233621713391815846979410,True,352
1070000,holdout,211.59629900626891,211.59629900626889948008763772028625363887272808547527036817182887013290227709860,True,362
1080000,holdout,177.53687448614818,177.53687448614818624415606213788373079488776586263061861616396814629670558057894,True,298
1090000,holdout,183.53239788408493,183.53239788408491286696506923683126384034355551651382396604288378375083994733178,True,268
1100000,holdout,130.35757404306642,130.35757404306641714261758462691206776428370972752237144763422446998432155044817,True,201
1110000,holdout,37.589217030297831,37.589217030297821628163695115422440770717662633787927899792479407543064950552535,True,97
1120000,holdout,12.191291085224927,12.191291085224917884537568549208388747569016253421917621923878109782087460600612,True,46
1130000,holdout,18.831627932386418,18.831627932386408692564761871016108088036392646240717704772184943405818476566539,True,54
1140000,holdout,-20.958547393578026,-20.958547393578032081390853182522992386048282928263192328275107235039357859497620,True,-25
1150000,holdout,28.302423952380391,28.302423952380382026852705002211170104898067925443664374830522840793702150451201,True,57
1160000,holdout,29.10274978171757,29.102749781717565350532262345217471178174284233306578070047463452254012844839189,True,74
1170000,holdout,-91.451156859708803,-91.451156859708810682399243343400018550488070191724431864428059105234256033811855,True,-56
1180000,holdout,-126.62399169830469,-126.62399169830470254988556479697344489474119585248152063912237976431965321445773,True,-69
1190000,holdout,-223.11339170394598,-223.11339170394598494633622641235694833758234969589075024251071875989465671908413,True,-155
1200000,holdout,-220.36261174425383,-220.36261174425382153762383838687273487427288570871400362058036656832489840879488,True,-155
1210000,holdout,-83.078473953170999,-83.078473953171000088227136086082393439675829672698922146103094982419360564022353,True,-9
1220000,holdout,-171.68941475931928,-171.68941475931927479041541179108408757266403861257329726764312090471537267709321,True,-115
