p,M,M_over_sqrtp,A_raw,B_raw,C_raw,N_raw,NA,CA,BA,margin,deltaW_sign
35407,-29,-0.154118,5.1191924854e+08,1.8194269194e+09,6.3484111827e+07,5.0246017163e+08,0.9815223261,0.1240119648,3.5541287508,3.6596630418,-1
35531,-18,-0.095492,5.1211261051e+08,1.5647176302e+09,6.3909721639e+07,5.0474866762e+08,0.9856204617,0.1247962271,3.0554171058,3.1658337946,-1
35677,-22,-0.116474,5.1548015998e+08,1.5505174947e+09,6.4452186620e+07,5.0752359582e+08,0.9845647519,0.1250333022,3.0079091595,3.1175072136,-1
35837,-11,-0.058107,5.1731069215e+08,8.8730085534e+08,6.5018300487e+07,5.1088857333e+08,0.9875855672,0.1256852052,1.7152184728,1.8284892451,-1
35993,-5,-0.026355,5.2119263995e+08,9.1172807803e+08,6.5595378177e+07,5.1541262937e+08,0.9889100303,0.1258563018,1.7493111148,1.8640774469,-1
36107,-10,-0.052626,5.2548664890e+08,1.2311583345e+09,6.5997394256e+07,5.1969475705e+08,0.9889780418,0.1255929040,2.3428917500,2.4574626959,-1
36263,-7,-0.036759,5.3223719875e+08,8.8464647002e+08,6.6572061890e+07,5.2476325090e+08,0.9859574869,0.1250796864,1.6621282242,1.7731653975,-1
36583,-7,-0.036598,5.4075221171e+08,1.1333548996e+09,6.7773018859e+07,5.3318821755e+08,0.9860120884,0.1253310063,2.0958858329,2.2072289276,-1
36713,-10,-0.052190,5.4573596890e+08,1.4037452462e+09,6.8249661645e+07,5.3820469230e+08,0.9861997797,0.1250598559,2.5722058397,2.6834654754,-1
36833,-3,-0.015632,5.4896915626e+08,1.1456009034e+09,6.8688522943e+07,5.4161654895e+08,0.9866065202,0.1251227362,2.0868219832,2.1985512397,-1
36931,-18,-0.093665,5.5526383639e+08,2.0280755563e+09,6.9061674016e+07,5.4637389783e+08,0.9839897037,0.1243763226,3.6524538847,3.7608199109,-1
37057,-17,-0.088311,5.5871706511e+08,2.1197847104e+09,6.9535496354e+07,5.4970835033e+08,0.9838760701,0.1244556515,3.7940217737,3.9023534953,-1
37201,-13,-0.067401,5.6145504024e+08,1.7920714568e+09,7.0098297532e+07,5.5230662371e+08,0.9837058787,0.1248511323,3.1918343027,3.3003913137,-1
37339,-32,-0.165603,5.6638183412e+08,2.3616529942e+09,7.0600278529e+07,5.5718984906e+08,0.9837706923,0.1246513823,4.1697188222,4.2781408968,-1
37483,-27,-0.139459,5.6886431996e+08,2.1691298901e+09,7.1140077131e+07,5.6075052139e+08,0.9857368475,0.1250563177,3.8130883129,3.9238814781,-1
37567,-36,-0.185737,5.7389047100e+08,2.8054297522e+09,7.1468790335e+07,5.6464080354e+08,0.9838825213,0.1245338509,4.8884410771,4.9968574493,-1
37663,-40,-0.206112,5.7881744649e+08,2.9892863274e+09,7.1818079048e+07,5.6906099980e+08,0.9831441731,0.1240772535,5.1644717095,5.2716931361,-1
37847,-33,-0.169628,5.8086185641e+08,2.1922073834e+09,7.2517667671e+07,5.7347281554e+08,0.9872791770,0.1248449470,3.7740598029,3.8861839269,-1
37987,-30,-0.153923,5.8627030338e+08,1.7797955567e+09,7.3078608408e+07,5.7702853286e+08,0.9842363318,0.1246500257,3.0357934666,3.1446798242,-1
38149,-23,-0.117757,5.8857187193e+08,1.1616842763e+09,7.3695495278e+07,5.7962165761e+08,0.9847933366,0.1252106986,1.9737339341,2.0837379693,-1
38261,-34,-0.173820,5.9612302259e+08,1.6765576476e+09,7.4116420833e+07,5.8643259581e+08,0.9837442501,0.1243307472,2.8124356619,2.9205106592,-1
38371,-36,-0.183781,5.9922099036e+08,1.7982304571e+09,7.4557676413e+07,5.8920518706e+08,0.9832852930,0.1244243403,3.0009470395,3.1086566728,-1
38561,-18,-0.091664,6.0416661119e+08,5.7954411129e+08,7.5304349777e+07,5.9437766951e+08,0.9837976123,0.1246416938,0.9592455137,1.0676848198,-1
38671,-16,-0.081363,6.0513800712e+08,7.8874301183e+08,7.5720803448e+07,5.9633758097e+08,0.9854571585,0.1251298093,1.3034101355,1.4139971033,-1
38767,-23,-0.116814,6.1023449553e+08,1.2620029418e+09,7.6110797315e+07,6.0054091584e+08,0.9841149923,0.1247238527,2.0680622793,2.1769011242,-1
38903,-19,-0.096330,6.1398314809e+08,1.1221362749e+09,7.6638479273e+07,6.0472997515e+08,0.9849292721,0.1248217960,1.8276336710,1.9373847391,-1
39107,-3,-0.015170,6.1759603232e+08,7.4247709405e+08,7.7440606425e+07,6.0959948971e+08,0.9870521470,0.1253903885,1.2022050907,1.3146476262,-1
39217,-8,-0.040397,6.2289364989e+08,9.6269199531e+08,7.7890533430e+07,6.1404573072e+08,0.9857954577,0.1250462795,1.5455158284,1.6563575656,-1
39341,-22,-0.110917,6.3227585108e+08,1.4016929444e+09,7.8375582712e+07,6.2057577704e+08,0.9814953014,0.1239578937,2.2169009649,2.3223541600,-1
39451,-21,-0.105728,6.3539728108e+08,1.4453126795e+09,7.8815351074e+07,6.2386848173e+08,0.9818557622,0.1240410581,2.2746598428,2.3805566631,-1
39607,-19,-0.095470,6.3813651638e+08,1.3395588053e+09,7.9447700737e+07,6.2748817643e+08,0.9833133825,0.1244995369,2.0991727803,2.2069856997,-1
39733,-14,-0.070235,6.4283351795e+08,1.0735860382e+09,7.9960557944e+07,6.3105839718e+08,0.9816824723,0.1243876614,1.6700841015,1.7761542352,-1
39869,-9,-0.045074,6.4556384512e+08,1.0635741796e+09,8.0476886995e+07,6.3513877512e+08,0.9838512177,0.1246613911,1.6475119968,1.7560246057,-1
40009,-10,-0.049994,6.4569851217e+08,1.2890083946e+09,8.1054956817e+07,6.3740652263e+08,0.9871581096,0.1255306545,1.9963007042,2.1089894683,-1
40151,-10,-0.049906,6.4876026751e+08,1.2148748921e+09,8.1624047795e+07,6.4155615845e+08,0.9888955760,0.1258154235,1.8726098884,1.9873208879,-1
40277,-15,-0.074742,6.5392178225e+08,1.4323502665e+09,8.2133404800e+07,6.4654592915e+08,0.9887205882,0.1256012677,2.1903999918,2.3047218476,-1
40459,-5,-0.024858,6.5868809723e+08,5.0116905553e+08,8.2872217776e+07,6.5115807583e+08,0.9885681532,0.1258140509,0.7608594381,0.8752416422,-1
40591,-4,-0.019854,6.6300442414e+08,4.2434555263e+08,8.3448655139e+07,6.5528924050e+08,0.9883632999,0.1258644017,0.6400342700,0.7542619716,-1
40849,-8,-0.039582,6.7380286825e+08,5.1271698306e+08,8.4505371547e+07,6.6465844210e+08,0.9864286328,0.1254155711,0.7609302471,0.8727744511,-1
41011,-9,-0.044442,6.7947912276e+08,4.4231635809e+08,8.5170840535e+07,6.6937843455e+08,0.9851346600,0.1253472516,0.6509638682,0.7614457797,-1
41257,-12,-0.059079,6.9117447309e+08,7.9900139645e+08,8.6197288319e+07,6.8024194993e+08,0.9841826867,0.1247113308,1.1560053613,1.2648993788,-1
41399,-16,-0.078637,6.9737408063e+08,8.7036655006e+08,8.6754104050e+07,6.8574932858e+08,0.9833306795,0.1244011019,1.2480626600,1.3557944413,-1
